text_id,source_type,model,base_prompt,sampling_strategy,few_shot,Filepath,wordtypes,wordtokens,swordtypes,swordtokens,lextypes,lextokens,slextypes,slextokens,verbtypes,verbtokens,sverbtypes,sverbtokens,adjtypes,adjtokens,advtypes,advtokens,nountypes,nountokens,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDW-50,NDW-ER50,NDW-ES50,TTR,MSTTR,CTTR,RTTR,LogTTR,Uber,LV,VV1,SVV1,CVV1,VV2,NV,AdjV,AdvV,ModV
01-b1,Candidate,Gemma 3,Target Only,N/A,0.0,cli_text,49,70,5,10,23,32,5,10,7,10,1,1,4,5,4,4,8,13,0.4571,0.3125,0.102,0.1,0.1,0.2236,49,35,37.6,38.2,0.7,0.7,4.1413,5.8566,0.916,21.9777,0.7188,0.7,4.9,1.5652,0.2188,0.6154,0.125,0.125,0.25
01-b1,Candidate,Claude 4,With Description,Random,2.0,cli_text,59,89,7,11,32,40,7,11,11,13,1,1,6,8,5,5,10,14,0.4494,0.275,0.1186,0.0769,0.0769,0.1961,59,37,37.8,38.9,0.6629,0.74,4.4222,6.254,0.9084,21.2847,0.8,0.8462,9.3077,2.1573,0.275,0.7143,0.15,0.125,0.275
01-b1,Candidate,Claude 4,Target Only,N/A,0.0,cli_text,59,90,8,15,32,44,8,15,10,13,1,1,7,9,5,5,10,17,0.4889,0.3409,0.1356,0.0769,0.0769,0.1961,59,34,37.1,37.3,0.6556,0.68,4.3976,6.2191,0.9062,20.8248,0.7273,0.7692,7.6923,1.9612,0.2273,0.5882,0.1591,0.1136,0.2727
01-b1,Candidate,Claude 4,With Description,N/A,0.0,cli_text,59,87,7,14,32,43,7,14,11,13,1,1,6,8,5,5,10,17,0.4943,0.3256,0.1186,0.0769,0.0769,0.1961,59,36,38.2,38.9,0.6782,0.72,4.4728,6.3255,0.913,22.3027,0.7442,0.8462,9.3077,2.1573,0.2558,0.5882,0.1395,0.1163,0.2558
01-b1,Candidate,Claude 4,With Description,Random,1.0,cli_text,58,87,7,11,31,39,7,11,10,12,1,1,6,8,5,5,10,14,0.4483,0.2821,0.1207,0.0833,0.0833,0.2041,58,37,37.9,39.8,0.6667,0.74,4.397,6.2183,0.9092,21.3624,0.7949,0.8333,8.3333,2.0412,0.2564,0.7143,0.1538,0.1282,0.2821
01-b1,Candidate,Gemma 3,With Description,N/A,0.0,cli_text,53,72,6,12,26,35,6,12,9,10,1,1,6,8,5,5,6,12,0.4861,0.3429,0.1132,0.1,0.1,0.2236,53,36,39.4,39.9,0.7361,0.72,4.4167,6.2461,0.9284,25.9264,0.7429,0.9,8.1,2.0125,0.2571,0.5,0.1714,0.1429,0.3143
01-b1,Candidate,Gemma 3,With Description,Random,1.0,cli_text,53,67,6,10,26,33,6,10,8,9,1,1,6,8,5,5,7,11,0.4925,0.303,0.1132,0.1111,0.1111,0.2357,53,40,40.8,41.9,0.791,0.8,4.5785,6.475,0.9443,32.7562,0.7879,0.8889,7.1111,1.8856,0.2424,0.6364,0.1818,0.1515,0.3333
01-b1,Candidate,Gemma 3,With Description,Random,2.0,cli_text,59,83,5,12,29,38,5,12,10,11,1,1,7,8,3,3,9,16,0.4578,0.3158,0.0847,0.0909,0.0909,0.2132,59,37,39.1,39.4,0.7108,0.74,4.5793,6.4761,0.9228,24.8462,0.7632,0.9091,9.0909,2.132,0.2632,0.5625,0.1842,0.0789,0.2632
01-b1,Candidate,Opus 1,With Description,Contrastive,0.0,cli_text,59,77,9,13,32,36,9,13,10,10,2,2,6,6,3,3,13,17,0.4675,0.3611,0.1525,0.2,0.4,0.4472,59,41,41.7,39.2,0.7662,0.82,4.7544,6.7237,0.9387,30.7756,0.8889,1.0,10.0,2.2361,0.2778,0.7647,0.1667,0.0833,0.25
01-b1,Candidate,Opus 3,With Description,Contrastive,0.0,cli_text,61,80,8,13,31,38,8,13,8,10,2,2,8,8,4,4,11,16,0.475,0.3421,0.1311,0.2,0.4,0.4472,61,39,39.6,43.2,0.7625,0.78,4.8225,6.82,0.9381,30.7553,0.8158,0.8,6.4,1.7889,0.2105,0.6875,0.2105,0.1053,0.3158
01-b1,Candidate,Claude 4,With Description,Contrastive,0.0,cli_text,59,79,7,11,30,35,7,11,9,10,1,1,6,6,4,4,11,15,0.443,0.3143,0.1186,0.1,0.1,0.2236,59,39,40.8,39.9,0.7468,0.78,4.6938,6.638,0.9332,28.4045,0.8571,0.9,8.1,2.0125,0.2571,0.7333,0.1714,0.1143,0.2857
01-b1,Candidate,Gemma 3,With Description,Contrastive,0.0,cli_text,58,74,9,13,28,33,9,13,8,9,2,2,6,6,4,4,10,14,0.4459,0.3939,0.1552,0.2222,0.4444,0.4714,58,40,41.6,41.6,0.7838,0.8,4.7676,6.7424,0.9434,33.0237,0.8485,0.8889,7.1111,1.8856,0.2424,0.7143,0.1818,0.1212,0.303
01-b1,Candidate,GPT-4o,With Description,Contrastive,0.0,cli_text,55,67,8,12,27,32,8,12,9,9,2,2,6,6,4,4,9,13,0.4776,0.375,0.1455,0.2222,0.4444,0.4714,55,42,42.7,43.5,0.8209,0.84,4.7513,6.7193,0.9531,38.9041,0.8438,1.0,9.0,2.1213,0.2812,0.6923,0.1875,0.125,0.3125
01-b1,Candidate,GPT-5,Target Only,N/A,0.0,cli_text,62,84,9,14,31,39,9,14,11,13,2,2,5,5,3,3,12,18,0.4643,0.359,0.1452,0.1538,0.3077,0.3922,62,37,40.6,39.1,0.7381,0.74,4.7834,6.7648,0.9315,28.0758,0.7949,0.8462,9.3077,2.1573,0.2821,0.6667,0.1282,0.0769,0.2051
01-b1,Candidate,GPT-5,With Description,N/A,0.0,cli_text,59,74,10,13,32,35,10,13,11,11,2,2,6,6,3,3,12,15,0.473,0.3714,0.1695,0.1818,0.3636,0.4264,59,41,41.5,40.6,0.7973,0.82,4.8498,6.8586,0.9474,35.5157,0.9143,1.0,11.0,2.3452,0.3143,0.8,0.1714,0.0857,0.2571
